sentence1	sentence2	similarity	partition	pair_id	sentence1_id	sentence2_id	similarity_scaled	language	length1	length2	ner_s1	ner_s2	ner_s1_tokens	ner_s2_tokens	dep_labels_s1	dep_labels_s2	size_proportion	size_mean	voc_inter	bigram_inter	ner_inter	sim_sint	sim_sint_root	dep_labels_inter	dep_labels_inter_dup	topic_s1	topic_s2	same_topic	pred_paraphrase-multilingual-mpnet-base-v2	pred_paraphrase-multilingual-MiniLM-L12-v2	pred_distiluse-base-multilingual-cased-v1	pred_distiluse-base-multilingual-cased-v2	pred_all-mpnet-base-v2
Melhores ataques, Corinthians e a Atlético Mineiro com 48 gols cada um.	Pior ataque é o do Vasco com 18 gols marcados.	2.25	test	6011	5999	15948	0.3125	ptbr-test	14	11	['Corinthians', 'Atlético Mineiro']	['Vasco']	['Corinthians', 'Atlético', 'Mineiro']	['Vasco']	['None', 'amod', 'ROOT', 'punct', 'conj', 'cc', 'det', 'conj', 'flat:name', 'case', 'nummod', 'nmod', 'det', 'ROOT', 'None']	['None', 'amod', 'nsubj', 'cop', 'ROOT', 'case', 'nmod', 'case', 'nummod', 'nmod', 'acl', 'None']	0.7857	12.5	0.1	0.0	0.0	0.0	0.0	0.385	0.435	futebol_esporte	notícia_mundial	0	3.266435384750366	3.058753967285156	2.9971638917922974	2.921522617340088	3.540946245193481
Já “House of Cards” precisou de três capítulos para convencer os brasileiros de acompanharem a série até o fim.	"Já ""House of Cards"" levou três episódios para conquistar o público brasileiro."	4.25	test	6012	6000	15949	0.8125	ptbr-test	22	15	['House', 'Cards']	['House', 'Cards']	['House', 'Cards']	['House', 'Cards']	['None', 'advmod', 'ROOT', 'nsubj', 'flat:name', 'flat:name', 'flat:name', 'ROOT', 'case', 'nummod', 'obl', 'mark', 'advcl', 'det', 'obj', 'mark', 'acl', 'det', 'obj', 'case', 'det', 'obl', 'None']	['None', 'advmod', 'nsubj', 'flat:name', 'flat:name', 'flat:name', 'flat:name', 'ROOT', 'nummod', 'obj', 'mark', 'advcl', 'det', 'obj', 'amod', 'None']	0.6818	18.5	0.2	0.0	1.0	0.695	0.667	0.692	0.686	entretenimento	entretenimento	1	4.4512364864349365	4.44253134727478	4.133234739303589	4.212294101715088	4.620089769363403
Por enquanto, vídeos em 360 graus só funcionam na versão web do Facebook e no aplicativo para Android.	Os vídeos em 360 graus já estão disponíveis na versão web do Facebook e também no aplicativo para Android.	4.5	test	6013	6001	15950	0.875	ptbr-test	20	20	['Facebook', 'Android']	['Facebook', 'Android']	['Facebook', 'Android']	['Facebook', 'Android']	['None', 'case', 'obl', 'punct', 'nsubj', 'case', 'nummod', 'nmod', 'advmod', 'ROOT', 'obj', 'flat:name', 'ROOT', 'case', 'nmod', 'cc', 'conj', 'flat:name', 'case', 'nmod', 'None']	['None', 'det', 'nsubj', 'case', 'nummod', 'nmod', 'advmod', 'cop', 'ROOT', 'ROOT', 'flat:name', 'ROOT', 'case', 'nmod', 'cc', 'advmod', 'conj', 'amod', 'case', 'nmod', 'None']	1.0	20.0	0.6087	0.4583	1.0	0.534	0.4	0.6	0.737	entretenimento	entretenimento	1	4.449016094207764	4.787879705429077	4.511475086212158	4.647879123687744	4.82887864112854
A decisão representa uma derrota para o presidente da Câmara, Eduardo Cunha (PMDB-RJ).	Vou entregar as informações.	1.0	test	6014	6002	15951	0.0	ptbr-test	17	5	['Câmara', 'Eduardo Cunha', 'PMDB RJ']	[]	['Câmara', 'Eduardo', 'Cunha', 'PMDB', 'RJ']	[]	['None', 'det', 'nsubj', 'ROOT', 'det', 'obj', 'case', 'det', 'obl', 'amod', 'nmod', 'punct', 'appos', 'flat:name', 'punct', 'appos', 'punct', 'None']	['None', 'aux', 'ROOT', 'det', 'obj', 'None']	0.2941	11.0	0.0	0.0	0.0	0.7	0.4	0.25	0.3	política	0	0	1.644858181476593	1.4427527487277985	1.10176420211792	0.999682754278183	2.661924123764038
Os recursos são transferidos para o HU pelo próprio Ministério da Saúde.	A partir de agora o município não tem mais recurso para repassar ao HU.	2.25	test	6015	6003	15952	0.3125	ptbr-test	13	15	['HU', 'Ministério', 'Saúde']	['HU']	['HU', 'Ministério', 'Saúde']	['HU']	['None', 'det', 'nsubj:pass', 'aux:pass', 'ROOT', 'case', 'det', 'obl', 'case', 'det', 'obl', 'case', 'nmod', 'None']	['None', 'case', 'obl', 'case', 'advmod', 'det', 'nsubj', 'advmod', 'ROOT', 'det', 'obj', 'mark', 'acl', 'case', 'det', 'obl', 'None']	0.8667	14.0	0.1304	0.0	0.33	0.375	0.25	0.333	0.667	notícia_outras	notícia_outras	1	2.656579852104187	2.5598431825637817	2.34906017780304	2.69519579410553	3.895296573638916
A ex-BBB foi clicada tomando sol na areia e se refrescou com mergulhos no mar.	A ex-BBB mostrou o corpo saradíssimo ao tomar banho de mar.	3.25	test	6016	6004	15953	0.5625	ptbr-test	16	12	['BBB']	['BBB']	['BBB']	['BBB']	['None', 'det', 'nsubj:pass', 'aux:pass', 'ROOT', 'advcl', 'obj', 'flat:name', 'flat:name', 'cc', 'expl', 'conj', 'case', 'obl', 'appos', 'flat:name', 'None']	['None', 'det', 'nsubj', 'ROOT', 'det', 'obj', 'amod', 'mark', 'det', 'advcl', 'obj', 'case', 'obl', 'None']	0.75	14.0	0.1304	0.0435	1.0	0.244	0.333	0.375	0.444	entretenimento	entretenimento	1	4.005495548248291	3.7360999584198	3.34516978263855	3.37864637374878	4.325190544128418
Acredita-se que o treinador colombiano fará um rodízio entre ele e Renan Ribeiro na suplência do ídolo Rogério Ceni.	O goleiro e capitão Rogério Ceni acredita que o colombiano continuará.	1.75	test	6017	6005	15954	0.1875	ptbr-test	20	12	['Renan Ribeiro', 'Rogério Ceni']	['Rogério Ceni']	['Renan', 'Ribeiro', 'Rogério', 'Ceni']	['Rogério', 'Ceni']	['None', 'ROOT', 'mark', 'det', 'nsubj', 'amod', 'ccomp', 'det', 'obj', 'case', 'nmod', 'cc', 'conj', 'flat:name', 'flat:name', 'ccomp', 'case', 'obl', 'ROOT', 'flat:name', 'None']	['None', 'det', 'nsubj', 'cc', 'conj', 'appos', 'flat:name', 'ROOT', 'mark', 'det', 'nsubj', 'ccomp', 'None']	0.6	16.0	0.2609	0.0769	0.5	0.0	0.0	0.571	0.6	futebol_esporte	futebol_esporte	1	3.5993216037750244	3.559922695159912	3.948719024658203	3.974329948425293	4.0017805099487305
Outro gadget que terá a função disponível será o iPad Pro, assim que for lançado pela Apple.	O iPad Pro, anunciado no começo de mês, já virá com essa função.	3.75	test	6018	6006	15955	0.6875	ptbr-test	19	16	['Pro', 'Apple']	['Pro']	['Pro', 'Apple']	['Pro']	['None', 'det', 'nsubj', 'nsubj', 'acl:relcl', 'det', 'obj', 'amod', 'cop', 'det', 'ROOT', 'appos', 'punct', 'mark', 'mark', 'aux:pass', 'advcl', 'xcomp', 'flat:name', 'None']	['None', 'det', 'nsubj', 'dep', 'punct', 'acl', 'amod', 'obj', 'case', 'nmod', 'punct', 'advmod', 'ROOT', 'case', 'det', 'obl', 'None']	0.8421	17.5	0.16	0.0769	0.5	0.0	0.0	0.3	0.424	produtos_tecnologia	produtos_tecnologia	1	4.574596405029297	4.460792779922485	3.696331262588501	3.786408662796021	4.313748359680176
E Snowden mostrou bom humor em sua estreia no Twitter.	"Em sua descrição no Twitter, Snowden diz: ""Eu trabalhava para o governo."""	2.25	test	6019	6007	15956	0.3125	ptbr-test	11	17	['Snowden', 'Twitter']	['Twitter', 'Snowden', 'Eu']	['Snowden', 'Twitter']	['Twitter', 'Snowden', 'Eu']	['None', 'cc', 'nsubj', 'ROOT', 'amod', 'obj', 'case', 'det', 'obl', 'case', 'ROOT', 'None']	['None', 'case', 'det', 'obl', 'case', 'nmod', 'punct', 'nsubj', 'ROOT', 'punct', 'nsubj', 'nsubj', 'parataxis', 'case', 'det', 'obl', 'punct', 'None']	0.6471	14.0	0.2222	0.0526	0.67	0.0	0.0	0.455	0.462	política	política	1	3.612162590026856	3.708271980285645	2.9687927961349487	3.20033860206604	3.795064210891724
Eu tive que desistir de muitos papéis bons porque estava ligado a Game of Thrones.	Perdi muita coisa porque estava preso a Game of Thrones.	4.0	test	6020	6008	15957	0.75	ptbr-test	16	11	['Game', 'Thrones']	['Game', 'Thrones']	['Game', 'Thrones']	['Game', 'Thrones']	['None', 'nsubj', 'aux', 'mark', 'ROOT', 'case', 'det', 'obl', 'amod', 'mark', 'cop', 'dep', 'case', 'obl', 'flat:name', 'flat:name', 'None']	['None', 'det', 'det', 'ROOT', 'mark', 'cop', 'acl:relcl', 'det', 'obl', 'flat:name', 'flat:name', 'None']	0.6875	13.5	0.3158	0.2105	1.0	0.0	0.0	0.5	0.56	entretenimento	entretenimento	1	4.272575855255127	4.202462196350098	3.661951303482056	3.8744630813598633	4.087018966674805
O índice seletivo DAX-30 da Bolsa de Valores de Frankfurt tem alta de 1,87%, aos 9.828,45 pontos.	O índice de referência DAX teve baixa de 4,70%, para 9.648,43 pontos.	2.5	test	6021	6009	15958	0.375	ptbr-test	20	15	['DAX', 'Bolsa', 'Valores', 'Frankfurt']	['DAX']	['DAX', 'Bolsa', 'Valores', 'Frankfurt']	['DAX']	['None', 'det', 'nsubj', 'amod', 'nmod:npmod', 'case', 'nmod', 'case', 'nmod', 'case', 'nmod', 'ROOT', 'obj', 'case', 'nummod', 'nmod', 'punct', 'case', 'det', 'nummod', 'obl', 'None']	['None', 'det', 'nsubj', 'case', 'nmod', 'appos', 'ROOT', 'obj', 'case', 'nummod', 'nmod', 'punct', 'case', 'nummod', 'obl', 'None']	0.75	17.5	0.1818	0.0385	0.25	0.538	0.857	0.75	0.765	economia_mercado	economia_mercado	1	3.344896078109741	3.080926418304444	3.0179338455200195	3.2432408332824707	4.285967350006104
Segundo o ministro, a manutenção dos 26 vetos analisados pelo Congresso na semana passada representa um “sinal importante”.	Barbosa reafirmou que a manutenção de parte dos vetos foi um sinal importante.	3.75	test	6022	6010	15959	0.6875	ptbr-test	22	14	['Congresso']	['Barbosa']	['Congresso']	['Barbosa']	['None', 'case', 'det', 'obl', 'punct', 'det', 'nsubj', 'acl', 'nummod', 'obj', 'acl', 'case', 'obl', 'flat:name', 'flat:name', 'acl', 'ROOT', 'det', 'obj', 'amod', 'amod', 'amod', 'None']	['None', 'nsubj', 'ROOT', 'mark', 'det', 'nsubj', 'case', 'nmod', 'acl', 'obj', 'cop', 'det', 'ccomp', 'amod', 'None']	0.6364	18.0	0.1923	0.0357	0.0	0.4	0.4	0.467	0.471	política	0	0	3.886413097381592	2.570619225502014	2.529394626617432	2.707725763320923	4.034733772277832
Estamos enfrentando a questão fiscal do curto prazo com enorme esforço do governo para garantir os vetos.	Levy ressaltou que o Brasil vem fazendo um esforço fiscal enorme no curto prazo.	3.25	test	6023	6011	15960	0.5625	ptbr-test	18	15	[]	['Levy', 'Brasil']	[]	['Levy', 'Brasil']	['None', 'aux', 'ROOT', 'det', 'obj', 'amod', 'case', 'amod', 'nmod', 'case', 'amod', 'obl', 'case', 'nmod', 'mark', 'acl', 'det', 'obj', 'None']	['None', 'nsubj', 'ROOT', 'mark', 'det', 'nsubj', 'aux', 'ccomp', 'det', 'obj', 'amod', 'amod', 'obj', 'amod', 'nmod', 'None']	0.8333	16.5	0.2	0.0357	0.0	0.0	0.0	0.583	0.71	economia_mercado	política	0	3.51243257522583	3.089844226837158	3.2653751373291016	2.987971782684326	4.031209230422974
Até então, as mensagens privadas da plataforma só podiam ter até 140 caracteres.	Os tuítes públicos serão mantidos em 140 caracteres.	3.0	test	6024	6012	15961	0.5	ptbr-test	15	9	[]	[]	[]	[]	['None', 'case', 'advmod', 'punct', 'det', 'nsubj', 'acl', 'case', 'nmod', 'advmod', 'aux', 'ROOT', 'case', 'nummod', 'obl', 'None']	['None', 'det', 'nsubj:pass', 'amod', 'aux:pass', 'ROOT', 'case', 'nummod', 'obl', 'None']	0.6	12.0	0.1111	0.0556	0.0	0.625	0.25	0.357	0.455	produtos_tecnologia	produtos_tecnologia	1	3.87355637550354	3.605562210083008	3.1538219451904297	3.2907094955444336	4.116405963897705
O iOS 9 traz muitas mudanças interessantes.	São características do iOS 9 que nos deixaram muito animados.	3.25	test	6025	6013	15962	0.5625	ptbr-test	8	11	[]	[]	[]	[]	['None', 'det', 'nsubj', 'flat:name', 'ROOT', 'det', 'obj', 'amod', 'None']	['None', 'cop', 'ROOT', 'case', 'nmod', 'nummod', 'nsubj', 'iobj', 'acl:relcl', 'advmod', 'xcomp', 'None']	0.7273	9.5	0.1333	0.0714	0.0	0.0	0.0	0.143	0.235	produtos_tecnologia	produtos_tecnologia	1	4.000420093536377	4.082733631134033	3.855145931243897	3.890050649642944	3.9931159019470215
O festival acontece nos dias 12 e 13 de março, no autódromo de Interlagos, nova casa do Lolla desde 2014.	O evento acontece no Autódromo de Interlagos, em São Paulo, nos dias 12 e 13 de março.	4.0	test	6026	6014	15963	0.75	ptbr-test	23	20	['Interlagos', 'Lolla']	['Autódromo', 'Interlagos', 'São Paulo']	['Interlagos', 'Lolla']	['Autódromo', 'Interlagos', 'São', 'Paulo']	['None', 'det', 'nsubj', 'ROOT', 'iobj', 'obj', 'nummod', 'cc', 'conj', 'case', 'nmod:tmod', 'punct', 'case', 'obl', 'case', 'nmod', 'punct', 'amod', 'obj', 'case', 'nmod', 'case', 'obl', 'None']	['None', 'det', 'nsubj', 'ROOT', 'obj', 'advmod', 'case', 'nmod', 'punct', 'case', 'obl', 'flat:name', 'punct', 'det', 'obl', 'nummod', 'cc', 'conj', 'case', 'nmod:tmod', 'None']	0.8696	21.5	0.4583	0.2963	0.2	0.834	0.667	0.75	0.78	entretenimento	0	0	3.8141860961914062	4.004956483840942	3.690876007080078	3.6248912811279297	4.014360189437866
Embora o microblog diga que não há limite de texto, ele existe e é de 10 mil caracteres.	O limite de 140 caracteres, no entanto, permanece para os tuítes públicos.	2.5	test	6027	6015	15964	0.375	ptbr-test	20	15	[]	[]	[]	[]	['None', 'mark', 'det', 'nsubj', 'advcl', 'mark', 'advmod', 'ccomp', 'obj', 'case', 'nmod', 'punct', 'nsubj', 'ROOT', 'cc', 'cop', 'case', 'dep', 'nummod', 'conj', 'None']	['None', 'det', 'nsubj', 'case', 'nummod', 'nmod', 'punct', 'case', 'obl', 'punct', 'ROOT', 'case', 'det', 'obl', 'amod', 'None']	0.75	17.5	0.1154	0.037	0.0	0.333	0.333	0.389	0.485	produtos_tecnologia	produtos_tecnologia	1	3.534586906433105	2.9894402027130127	2.6641303300857544	2.7615416049957275	3.6440484523773193
Com a narração de Scarlett Johansson como a cobra píton Kaa, o vídeo conta com legendas em português.	A cobra Kaa, por exemplo, ganha a voz de Scarlett Johansson.	3.75	test	6028	6016	15965	0.6875	ptbr-test	20	14	['Scarlett Johansson', 'Kaa']	['Kaa', 'Scarlett Johansson']	['Scarlett', 'Johansson', 'Kaa']	['Kaa', 'Scarlett', 'Johansson']	['None', 'case', 'det', 'obl', 'case', 'nmod', 'flat:name', 'case', 'det', 'nmod', 'appos', 'flat:name', 'punct', 'det', 'nsubj', 'ROOT', 'case', 'obl', 'case', 'nmod', 'None']	['None', 'det', 'nsubj', 'flat:name', 'punct', 'cc', 'fixed', 'punct', 'ROOT', 'det', 'obj', 'case', 'nmod', 'flat:name', 'None']	0.7	17.0	0.3	0.125	1.0	0.5	0.333	0.583	0.562	entretenimento	entretenimento	1	4.160536050796509	4.087218999862671	3.3812780380249023	3.5957231521606445	4.169512510299683
Todo mundo quer ver a taxa de juros cair.	Não há dúvida nenhuma: enquanto não acertar o fiscal, é muito difícil a taxa de juros cair.	2.5	test	6029	6017	15966	0.375	ptbr-test	10	20	[]	[]	[]	[]	['None', 'det', 'nsubj', 'ROOT', 'xcomp', 'det', 'obj', 'case', 'nmod', 'acl', 'None']	['None', 'advmod', 'ROOT', 'obj', 'det', 'punct', 'advmod', 'advmod', 'advcl', 'det', 'obj', 'punct', 'cop', 'advmod', 'ROOT', 'det', 'nsubj', 'case', 'nmod', 'acl', 'None']	0.5	15.0	0.25	0.2	0.0	0.416	0.333	0.583	0.571	economia_mercado	economia_mercado	1	3.198169946670532	2.877023458480835	2.6123013496398926	2.46887743473053	3.61198616027832
O Partido dos Trabalhadores considera um equívoco a condenação, sem provas, do companheiro João Vaccari Neto.	João Vaccari Neto foi condenado pelos crimes de corrupção e lavagem de dinheiro.	2.75	test	6030	6018	15967	0.4375	ptbr-test	19	14	['Partido', 'Trabalhadores', 'João Vaccari Neto']	['João Vaccari Neto']	['Partido', 'Trabalhadores', 'João', 'Vaccari', 'Neto']	['João', 'Vaccari', 'Neto']	['None', 'det', 'nsubj', 'flat:name', 'flat:name', 'ROOT', 'det', 'obj', 'det', 'obj', 'punct', 'case', 'obl', 'punct', 'case', 'obl', 'appos', 'flat:name', 'flat:name', 'None']	['None', 'nsubj:pass', 'flat:name', 'flat:name', 'aux:pass', 'ROOT', 'ROOT', 'amod', 'case', 'nmod', 'cc', 'conj', 'case', 'nmod', 'None']	0.7368	16.5	0.12	0.08	0.6	0.0	0.0	0.2	0.323	política	política	1	3.176352024078369	2.56271767616272	3.2892892360687256	3.2762465476989746	4.155696392059326
Neste ano, Ricci apitou duas partidas do Grêmio, em ambas o Tricolor saiu vencedor.	Curiosamente, apesar do temor de Bolzan, Ricci apitou duas partidas em que o Grêmio saiu vencedor.	3.5	test	6031	6019	15968	0.625	ptbr-test	17	19	['Ricci', 'Grêmio', 'Tricolor']	['Bolzan', 'Ricci', 'Grêmio']	['Ricci', 'Grêmio', 'Tricolor']	['Bolzan', 'Ricci', 'Grêmio']	['None', 'nsubj', 'flat:name', 'punct', 'advmod', 'ROOT', 'nummod', 'obj', 'case', 'nmod', 'punct', 'case', 'det', 'det', 'obl', 'advcl', 'obj', 'None']	['None', 'advmod', 'punct', 'advmod', 'case', 'obl', 'case', 'nmod', 'punct', 'nsubj', 'ROOT', 'nummod', 'obj', 'case', 'obl', 'det', 'nsubj', 'acl:relcl', 'obj', 'None']	0.8947	18.0	0.4286	0.1667	0.5	0.589	0.6	0.769	0.765	futebol_esporte	futebol_esporte	1	4.105007648468018	3.9813156127929688	3.7016568183898926	3.694181919097901	4.099166393280029
Esta proposta aborda o aumento persistente dos gastos ao longo dos anos.	Essa proposta trata do aumento persistente em despesas ao longo dos anos.	5.0	test	6032	6020	15969	1.0	ptbr-test	13	13	[]	[]	[]	[]	['None', 'det', 'nsubj', 'ROOT', 'det', 'obj', 'amod', 'acl', 'obj', 'case', 'det', 'amod', 'acl', 'obl', 'None']	['None', 'det', 'nsubj', 'ROOT', 'case', 'obj', 'obl', 'case', 'obl', 'case', 'det', 'amod', 'acl', 'nmod', 'None']	1.0	13.0	0.4375	0.2222	0.0	0.7	0.4	0.889	0.692	economia_mercado	0	0	4.95970344543457	4.973308801651001	4.954110145568848	4.980037689208984	4.327579021453857
